Altium Designer Pick and Place Locations
D:\Acmecpu\C204-2022-02-03\c204\C204_Core\hw-package\20220203\Assembly\Pick_n_Place\No Variations\20220203-SGU-Acme_CPU_Control_Board_C204_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       03-02-22
Time:       14:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation 
BTN1       TopLayer    40.2000      25.0000      270      
BTN2       TopLayer    48.1875      11.0000      90       
C1         TopLayer    38.7000      25.1000      270      
C2         TopLayer    13.3000      17.4000      270      
C3         TopLayer    28.4000      41.6000      180      
C4         BottomLayer 5.6000       6.2000       90       
C5         TopLayer    47.9000      39.9000      0        
C6         BottomLayer 2.2000       11.2000      0        
C7         BottomLayer 2.2000       9.3000       0        
C8         BottomLayer 42.0000      19.8000      0        
C9         BottomLayer 22.8000      15.4000      180      
C10        TopLayer    31.0845      28.1000      180      
C11        BottomLayer 32.5000      32.5000      90       
C12        BottomLayer 34.0000      10.7000      270      
C13        BottomLayer 32.4000      9.7000       0        
C14        TopLayer    27.6000      13.3000      180      
C15        TopLayer    26.5000      6.8000       90       
C16        BottomLayer 2.2000       13.0000      0        
C35        BottomLayer 47.9000      38.4000      270      
C36        BottomLayer 24.5000      38.9000      270      
C37        BottomLayer 25.4000      9.7000       180      
C41        BottomLayer 27.0000      41.6000      90       
C42        BottomLayer 23.2000      7.7000       270      
C44        BottomLayer 11.2000      9.3000       270      
C45        BottomLayer 10.4000      12.1000      0        
C46        BottomLayer 8.9000       9.3000       270      
C47        BottomLayer 7.4000       11.1000      0        
C48        BottomLayer 12.0000      1.8000       180      
C49        BottomLayer 12.0000      3.5000       180      
C51        BottomLayer 15.7000      27.1000      0        
C58        TopLayer    21.0000      25.0000      270      
C59        BottomLayer 9.9000       25.0000      0        
C60        TopLayer    22.4000      20.6000      90       
C61        TopLayer    27.6000      14.3000      0        
C62        BottomLayer 30.6000      8.2000       90       
C63        BottomLayer 34.5000      7.5000       270      
C64        TopLayer    37.6000      30.0000      0        
C65        TopLayer    25.1000      20.5000      90       
C66        TopLayer    26.1000      20.5000      90       
C67        BottomLayer 46.3000      46.0000      180      
C68        BottomLayer 48.4000      44.0000      0        
C69        BottomLayer 38.6000      41.6000      270      
